"PMID","DOI","First_Author","Year","Title","Journal","Journal_Abbrev","Publication_Type","Domain_Group","Priority_Translational_Evidence","Priority_Use_Case"
"32632555","10.1007/s00345-020-03334-5","Khene ZE","2021","Radiomics can predict tumour response in patients treated with Nivolumab for a metastatic renal cell carcinoma: an artificial intelligence concept.","World journal of urology","World J Urol","Letter","Renal/Kidney","No",""
"34382117","10.1007/s10278-021-00500-y","Khodabakhshi Z","2021","Overall Survival Prediction in Renal Cell Carcinoma Patients Using Computed Tomography Radiomic and Clinical Information.","Journal of digital imaging","J Digit Imaging","Journal Article; Research Support, Non-U.S. Gov't","Renal/Kidney","No",""
"33646127","10.2196/25635","Kim H","2021","Machine Learning Approach to Predict the Probability of Recurrence of Renal Cell Carcinoma After Surgery: Prediction Model Development Study.","JMIR medical informatics","JMIR Med Inform","Journal Article","Renal/Kidney","No",""
"34379150","10.1007/s00261-021-03241-2","Konik A","2021","Robustness and performance of radiomic features in diagnosing cystic renal masses.","Abdominal radiology (New York)","Abdom Radiol (NY)","Journal Article","Renal/Kidney","No",""
"33495866","10.1007/s00345-021-03602-y","Kuusk T","2021","Radiomics to better characterize small renal masses.","World journal of urology","World J Urol","Journal Article; Review","Renal/Kidney","No",""
"33882560","10.1097/MOU.0000000000000881","Lee M","2021","Kidney cancer management 3.0: can artificial intelligence make us better?","Current opinion in urology","Curr Opin Urol","Journal Article; Review","Renal/Kidney","No",""
"34344909","10.1038/s41598-021-95019-1","Lee Y","2021","Machine learning-based prediction of acute kidney injury after nephrectomy in patients with renal cell carcinoma.","Scientific reports","Sci Rep","Journal Article; Research Support, Non-U.S. Gov't","Renal/Kidney","No",""
"34268628","10.1007/s00261-021-03213-6","Li X","2021","A CT-based radiomics nomogram for differentiation of small masses (< 4 cm) of renal oncocytoma from clear cell renal cell carcinoma.","Abdominal radiology (New York)","Abdom Radiol (NY)","Journal Article","Renal/Kidney","No",""
"33862522","10.1016/j.tranon.2021.101078","Lin P","2021","Radiomic profiling of clear cell renal cell carcinoma reveals subtypes with distinct prognoses and molecular pathways.","Translational oncology","Transl Oncol","Journal Article","Renal/Kidney","No",""
"34123789","10.3389/fonc.2021.638185","Lu L","2021","Uncontrolled Confounders May Lead to False or Overvalued Radiomics Signature: A Proof of Concept Using Survival Analysis in a Multicenter Cohort of Kidney Cancer.","Frontiers in oncology","Front Oncol","Journal Article","Renal/Kidney","No",""
"33603485","10.2147/CMAR.S297094","Ma Y","2021","A CT-Based Tumoral and Mini-Peritumoral Radiomics Approach: Differentiate Fat-Poor Angiomyolipoma from Clear Cell Renal Cell Carcinoma.","Cancer management and research","Cancer Manag Res","Journal Article","Renal/Kidney","No",""
"33633296","10.1038/s41598-021-84244-3","Ma Y","2021","A convention-radiomics CT nomogram for differentiating fat-poor angiomyolipoma from clear cell renal cell carcinoma.","Scientific reports","Sci Rep","Journal Article","Renal/Kidney","No",""
"33722896","10.1158/1078-0432.CCR-20-4119","Marostica E","2021","Development of a Histopathology Informatics Pipeline for Classification and Prediction of Clinical Outcomes in Subtypes of Renal Cell Carcinoma.","Clinical cancer research : an official journal of the American Association for Cancer Research","Clin Cancer Res","Journal Article; Research Support, Non-U.S. Gov't","Renal/Kidney","No",""
